Dataset,Year,Modality,Image Source,Primary Imaged Regions,Secondary Imaged Regions,3D Bone Shapes,3D Format,N subjects,Subjects Metadata,Accessibility,Redistribution Permission,License
1,2023,CT,Adopted,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Sacrum; Coccyx; Hip Bones; Femur; Patella; Tibia; Fibula; Tarsals; Metatarsals; Phalanges Foot,Voxel Mask; Surface Mesh,2,Age; Gender; Height; Weight; BMI,Open,Allowed,CC BY 4.0
2,2023,CT,Adopted,Pelvis; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Sacrum; Hip Bones; Femur; Patella; Tibia; Fibula; Tarsals; Metatarsals; Phalanges Foot,Voxel Mask; Surface Mesh,20,Age; Gender; Weight; Height,Open,Allowed,CC BY-NC-SA 4.0
3,2025,CT,Original,Pelvis; Hip,Lumbar Spine; Pelvis; Hip; Upper Leg,Lumbar Vertebrae; Sacrum; Hip Bones,Voxel Mask; Surface Mesh,278,Age; Gender,Open,Allowed,CC BY 4.0
4,2024,MRI,Adopted,Neurocranium,Neurocranium; Viscerocranium,Cranial Bones; Facial Bones,Voxel Mask; Surface Mesh,100,,Open,Allowed,CC BY 4.0
5,2022,CT,Original,,,Cranial Bones; Facial Bones,Voxel Mask; Surface Mesh,529,,Open,Allowed,CC BY 4.0
6,2010,CT,Original,Abdomen; Lumbar Spine,Abdomen; Lumbar Spine,Lumbar Vertebrae,Voxel Mask; Surface Mesh,20,Age; Gender; Clinical Condition,Open,Not Allowed,CC BY-NC-ND 4.0
7,2024,MRI,Adopted,,,Distal Femur,Voxel Mask; Surface Mesh,4788,,Open,Allowed,MIT; Other
8,2023,CT,Adopted,,,Ribs,Voxel Mask; Surface Mesh,660,,Open,Allowed,CC BY 4.0
9,2021,CT,Original,,,Cranial Bones,Voxel Mask; Surface Mesh,24,,Open,Allowed,CC BY 4.0
10,2023,CT; MRI,Adopted,,,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Hip Bones; Femur,Surface Mesh,N/A,,Open,Allowed,CC BY-NC 4.0
11,2024,XRay; EOS biplanar imaging,Original,,,Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Hip Bones,Surface Mesh,42,,Restricted,Allowed,CC BY 4.0
12,2023,CT,Adopted,,,Tibia; Fibula,Surface Mesh,30,Age; Weight; Height,Open,Allowed,CC BY 4.0
13,2025,CT,Original,,,Radius; Ulna,Surface Mesh,10,,Restricted,Allowed,CC BY 4.0
14,2022,CBCT,Original,,,Facial Bones,Surface Mesh,17,,Open,Allowed,CC BY-NC-SA 4.0
15,2025,CT; PET,Mixed,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Radius; Ulna; Carpals; Metacarpals; Phalanges Hand; Hip Bones; Femur; Patella; Tibia; Fibula; Tarsals; Metatarsals; Phalanges Foot,Voxel Mask,1597,Age; Gender; Weight; Height; Clinical Condition,Open,Allowed,CC BY 4.0; CC BY-NC 4.0
16,2024,CT,Original,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Radius; Ulna; Carpals; Metacarpals; Phalanges Hand; Hip Bones; Femur; Patella; Tibia; Fibula; Tarsals; Metatarsals; Phalanges Foot,Voxel Mask,30,Age; Gender; Weight; Height; BMI,Restricted,Not Allowed,Other; TCIA Restricted
17,2023,CT,Original,,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Hip Bones; Femur,Voxel Mask,1228,,Open,Allowed,CC BY 4.0
